word,word_mark,pos_tag,annotation
your,your,PRON,O
threat,threat,NOUN,O
s,##s,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
The,The,DET,O
2006,2006,NUM,O
report,report,NOUN,O
on,on,ADP,O
human,human,ADJ,O
rights,rights,NOUN,O
ab,ab,NOUN,O
uses,##uses,NOUN,O
in,in,ADP,O
the,the,DET,B-geo
Arab,Arab,PROPN,I-geo
ian,##ian,PROPN,I-geo
Pen,Pen,PROPN,I-geo
insula,##insula,PROPN,I-geo
pre,pre,VERB,O
pared,##pared,VERB,O
by,by,ADP,O
the,the,DET,O
committee,committee,NOUN,O
",",",",PUNCT,O
crit,crit,VERB,O
ic,##ic,VERB,O
ized,##ized,VERB,O
the,the,DET,O
King,King,PROPN,B-geo
dom,##dom,PROPN,I-geo
's,'s,PART,O
l,l,NOUN,O
ack,##ack,NOUN,O
of,of,ADP,O
a,a,DET,O
const,const,NOUN,O
itution,##itution,NOUN,O
reg,reg,VERB,O
ulating,##ulating,VERB,O
the,the,DET,O
course,course,NOUN,O
of,of,ADP,O
the,the,DET,O
country,country,NOUN,O
",",",",PUNCT,O
st,st,VERB,O
ating,##ating,VERB,O
that,that,SCONJ,O
the,the,DET,O
Saudi,Saudi,ADJ,O
reg,reg,NOUN,O
ime,##ime,NOUN,O
miss,miss,VERB,O
ed,##ed,VERB,O
a,a,DET,O
fund,fund,ADJ,O
amental,##amental,ADJ,O
element,element,NOUN,O
on,on,ADP,O
which,which,DET,O
any,any,DET,O
political,political,ADJ,O
system,system,NOUN,O
is,is,AUX,O
based,based,VERB,O
.,.,PUNCT,O
###,###,SPACE,O
If,If,SCONJ,O
only,only,ADV,O
you,you,PRON,O
were,were,AUX,O
one,one,NUM,O
of,of,ADP,O
the,the,DET,O
r,r,NOUN,O
ul,##ul,NOUN,O
ers,##ers,NOUN,O
of,of,ADP,O
the,the,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
states,states,NOUN,O
",",",",PUNCT,O
Mah,Mah,PROPN,O
ath,##ath,PROPN,O
ir,##ir,PROPN,O
",",",",PUNCT,O
those,those,DET,O
that,that,DET,O
fac,fac,VERB,O
ilit,##ilit,VERB,O
ated,##ated,VERB,O
for,for,ADP,O
America,America,PROPN,B-geo
-,-,PUNCT,O
f,f,ADV,O
ool,##ool,ADV,O
ishly,##ishly,ADV,O
and,and,CCONJ,O
st,st,ADV,O
upid,##upid,ADV,O
ly,##ly,ADV,O
-,-,PUNCT,O
the,the,DET,O
mission,mission,NOUN,O
of,of,ADP,O
inv,inv,VERB,O
ading,##ading,VERB,O
Iraq,Iraq,PROPN,B-geo
.,.,PUNCT,O
###,###,SPACE,O
And,And,CCONJ,O
ext,ext,VERB,O
ended,##ended,VERB,O
a,a,DET,O
hel,hel,VERB,O
ping,##ping,VERB,O
hand,hand,NOUN,O
to,to,ADP,O
it,it,PRON,O
to,to,PART,O
destroy,destroy,VERB,O
its,its,PRON,O
inf,inf,NOUN,O
rastructure,##rastructure,NOUN,O
",",",",PUNCT,O
its,its,PRON,O
economic,economic,ADJ,O
system,system,NOUN,O
",",",",PUNCT,O
its,its,PRON,O
reg,reg,NOUN,O
ime,##ime,NOUN,O
and,and,CCONJ,O
community,community,NOUN,O
life,life,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
Israeli,Israeli,ADJ,O
Dep,Dep,PROPN,O
uty,##uty,PROPN,O
Prime,Prime,PROPN,O
Min,Min,PROPN,O
ister,##ister,PROPN,O
Sh,Sh,PROPN,O
imon,##imon,PROPN,O
Pe,Pe,PROPN,O
res,##res,PROPN,O
be,be,VERB,O
gan,##gan,VERB,O
on,on,ADP,O
Monday,Monday,PROPN,O
the,the,DET,O
highest,highest,ADJ,O
level,level,NOUN,O
vis,vis,NOUN,O
it,##it,NOUN,O
of,of,ADP,O
an,an,DET,O
Israeli,Israeli,ADJ,O
official,official,NOUN,O
to,to,ADP,O
a,a,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
country,country,NOUN,O
in,in,ADP,O
more,more,ADJ,O
than,than,SCONJ,O
a,a,DET,O
dec,dec,NOUN,O
ade,##ade,NOUN,O
",",",",PUNCT,O
when,when,ADV,O
he,he,PRON,O
ar,ar,VERB,O
rived,##rived,VERB,O
in,in,ADP,O
Q,Q,PROPN,B-geo
atar,##atar,PROPN,I-geo
for,for,ADP,O
a,a,DET,O
two,two,NUM,O
-,-,PUNCT,O
day,day,NOUN,O
vis,vis,NOUN,O
it,##it,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
Pe,Pe,PROPN,O
res,##res,PROPN,O
said,said,VERB,O
he,he,PRON,O
also,also,ADV,O
disc,disc,VERB,O
ussed,##ussed,VERB,O
Iran,Iran,PROPN,B-geo
's,'s,PART,O
nuclear,nuclear,ADJ,O
amb,amb,NOUN,O
itions,##itions,NOUN,O
with,with,ADP,O
She,She,PROPN,O
ikh,##ikh,PROPN,O
Ham,Ham,PROPN,O
ad,##ad,PROPN,O
B,B,PROPN,O
in,##in,PROPN,O
K,K,PROPN,O
hal,##hal,PROPN,O
ifa,##ifa,PROPN,O
Al,Al,PROPN,O
Th,Th,PROPN,O
ani,##ani,PROPN,O
",",",",PUNCT,O
Prince,Prince,PROPN,O
of,of,ADP,O
Q,Q,PROPN,B-geo
atar,##atar,PROPN,I-geo
",",",",PUNCT,O
during,during,ADP,O
a,a,DET,O
ra,ra,ADJ,O
re,##re,ADJ,O
vis,vis,NOUN,O
it,##it,NOUN,O
to,to,ADP,O
the,the,DET,O
American,American,PROPN,O
-,-,PUNCT,O
all,all,VERB,O
ied,##ied,VERB,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
country,country,NOUN,O
",",",",PUNCT,O
his,his,PRON,O
first,first,ADJ,O
in,in,ADP,O
a,a,DET,O
dec,dec,NOUN,O
ade,##ade,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
Iran,Iran,PROPN,B-geo
's,'s,PART,O
ne,ne,NOUN,O
igh,##igh,NOUN,O
bors,##bors,NOUN,O
in,in,ADP,O
the,the,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
exp,exp,VERB,O
ressed,##ressed,VERB,O
their,their,PRON,O
con,con,NOUN,O
cern,##cern,NOUN,O
over,over,ADP,O
Iran,Iran,PROPN,B-geo
's,'s,PART,O
nuclear,nuclear,ADJ,O
pl,pl,NOUN,O
ans,##ans,NOUN,O
",",",",PUNCT,O
and,and,CCONJ,O
Saudi,Saudi,ADJ,O
offic,offic,NOUN,O
ials,##ials,NOUN,O
said,said,VERB,O
that,that,SCONJ,O
an,an,DET,O
Iran,Iran,PROPN,B-geo
which,which,DET,O
own,own,VERB,O
s,##s,VERB,O
nuclear,nuclear,ADJ,O
weapons,weapons,NOUN,O
could,could,AUX,O
sp,sp,VERB,O
ur,##ur,VERB,O
a,a,DET,O
reg,reg,ADJ,O
ional,##ional,ADJ,O
arms,arms,NOUN,O
race,race,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
Speaking,Speaking,VERB,O
of,of,ADP,O
his,his,PRON,O
support,support,NOUN,O
for,for,ADP,O
some,some,DET,O
of,of,ADP,O
the,the,DET,O
invest,invest,NOUN,O
ors,##ors,NOUN,O
exp,exp,VERB,O
anding,##anding,VERB,O
into,into,ADP,O
the,the,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
markets,markets,NOUN,O
",",",",PUNCT,O
he,he,PRON,O
said,said,VERB,O
I,I,PRON,O
do,do,AUX,O
not,not,PART,O
support,support,VERB,O
that,that,DET,O
",",",",PUNCT,O
as,as,ADP,O
the,the,DET,O
Saudi,Saudi,ADJ,O
stock,stock,NOUN,O
market,market,NOUN,O
is,is,AUX,O
cons,cons,VERB,O
idered,##idered,VERB,O
one,one,NUM,O
of,of,ADP,O
the,the,DET,O
big,big,ADJ,O
gest,##gest,ADJ,O
markets,markets,NOUN,O
in,in,ADP,O
the,the,DET,B-geo
Middle,Middle,PROPN,I-geo
East,East,PROPN,I-geo
",",",",PUNCT,O
and,and,CCONJ,O
invest,invest,VERB,O
ing,##ing,VERB,O
in,in,ADP,O
it,it,PRON,O
does,does,VERB,O
very,very,ADV,O
well,well,ADV,O
.,.,PUNCT,O
###,###,SPACE,O
In,In,ADP,O
the,the,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
ch,ch,NOUN,O
ampions,##ampions,NOUN,O
hip,##hip,NOUN,O
which,which,DET,O
is,is,AUX,O
held,held,VERB,O
in,in,ADP,O
Ab,Ab,PROPN,B-geo
u,##u,PROPN,I-geo
D,D,PROPN,I-geo
habi,##habi,PROPN,I-geo
",",",",PUNCT,O
w,w,VERB,O
ailing,##ailing,VERB,O
female,female,ADJ,O
che,che,NOUN,O
er,##er,NOUN,O
leaders,##leaders,NOUN,O
were,were,AUX,O
h,h,VERB,O
ired,##ired,VERB,O
to,to,PART,O
support,support,VERB,O
the,the,DET,O
Saudi,Saudi,PROPN,B-geo
Arab,Arab,PROPN,I-geo
ia,##ia,PROPN,I-geo
national,national,ADJ,O
team,team,NOUN,O
!,!,PUNCT,O
!,!,PUNCT,O
.,.,PUNCT,O
###,###,SPACE,O
I,I,PRON,O
remember,remember,VERB,O
that,that,SCONJ,O
once,once,SCONJ,O
Q,Q,PROPN,B-geo
atar,##atar,PROPN,I-geo
h,h,VERB,O
ired,##ired,VERB,O
Mor,Mor,ADJ,O
oc,##oc,ADJ,O
can,##can,ADJ,O
women,women,NOUN,O
in,in,ADP,O
one,one,NUM,O
of,of,ADP,O
its,its,PRON,O
cele,cele,NOUN,O
br,##br,NOUN,O
ations,##ations,NOUN,O
in,in,ADP,O
order,order,NOUN,O
to,to,PART,O
play,play,VERB,O
the,the,DET,O
role,role,NOUN,O
of,of,ADP,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
girls,girls,NOUN,O
",",",",PUNCT,O
meaning,meaning,VERB,O
that,that,SCONJ,O
in,in,ADP,O
each,each,DET,O
song,song,NOUN,O
about,about,ADP,O
a,a,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
state,state,NOUN,O
",",",",PUNCT,O
they,they,PRON,O
let,let,VERB,O
girls,girls,NOUN,O
d,d,VERB,O
ance,##ance,VERB,O
.,.,PUNCT,O
###,###,SPACE,O
As,As,ADP,O
if,if,SCONJ,O
they,they,PRON,O
were,were,VERB,O
from,from,ADP,O
those,those,DET,O
states,states,NOUN,O
",",",",PUNCT,O
although,although,SCONJ,O
in,in,ADP,O
some,some,DET,O
of,of,ADP,O
the,the,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
states,states,NOUN,O
--,--,PUNCT,O
Bah,Bah,PROPN,B-geo
rain,##rain,PROPN,I-geo
",",",",PUNCT,O
the,the,DET,O
Em,Em,PROPN,B-geo
ir,##ir,PROPN,I-geo
ates,##ates,PROPN,I-geo
",",",",PUNCT,O
O,O,PROPN,B-geo
man,##man,PROPN,I-geo
and,and,CCONJ,O
Ku,Ku,PROPN,B-geo
wait,##wait,PROPN,I-geo
--,--,PUNCT,O
their,their,PRON,O
girls,girls,NOUN,O
have,have,AUX,O
app,app,VERB,O
eared,##eared,VERB,O
on,on,ADP,O
te,te,NOUN,O
levision,##levision,NOUN,O
and,and,CCONJ,O
sung,sung,VERB,O
and,and,CCONJ,O
d,d,VERB,O
anced,##anced,VERB,O
for,for,ADP,O
a,a,DET,O
long,long,ADJ,O
time,time,NOUN,O
",",",",PUNCT,O
except,except,SCONJ,O
for,for,ADP,O
the,the,DET,O
girls,girls,NOUN,O
of,of,ADP,O
Q,Q,PROPN,B-geo
atar,##atar,PROPN,I-geo
and,and,CCONJ,O
Saudi,Saudi,PROPN,B-geo
Arab,Arab,PROPN,I-geo
ia,##ia,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
You,You,PRON,O
said,said,VERB,O
in,in,ADP,O
your,your,PRON,O
subject,subject,NOUN,O
on,on,ADP,O
the,the,DET,O
site,site,NOUN,O
of,of,ADP,O
the,the,DET,O
forum,forum,NOUN,O
ent,ent,VERB,O
itled,##itled,VERB,O
"""","""",PUNCT,O
Sc,Sc,NOUN,O
andal,##andal,NOUN,O
of,of,ADP,O
H,H,VERB,O
iring,##iring,VERB,O
W,W,VERB,O
ailing,##ailing,VERB,O
Female,Female,ADJ,O
Che,Che,NOUN,O
er,##er,NOUN,O
leaders,##leaders,NOUN,O
:,:,PUNCT,O
Would,Would,AUX,O
They,They,PRON,O
Have,Have,AUX,O
Made,Made,VERB,O
The,The,PRON,O
m,##m,PRON,O
B,B,NOUN,O
run,##run,NOUN,O
ettes,##ettes,NOUN,O
?,?,PUNCT,O
"""","""",PUNCT,O
-,-,PROPN,O
L,##L,PROPN,O
RB,##RB,PROPN,O
-,##-,PROPN,O
In,In,ADP,O
the,the,DET,O
G,G,PROPN,O
ulf,##ulf,PROPN,O
ch,ch,NOUN,O
ampions,##ampions,NOUN,O
hip,##hip,NOUN,O
",",",",PUNCT,O
which,which,DET,O
is,is,AUX,O
held,held,VERB,O
in,in,ADP,O
Ab,Ab,PROPN,B-geo
u,##u,PROPN,I-geo
D,D,PROPN,I-geo
habi,##habi,PROPN,I-geo
",",",",PUNCT,O
w,w,VERB,O
ailing,##ailing,VERB,O
female,female,ADJ,O
che,che,NOUN,O
er,##er,NOUN,O
leaders,##leaders,NOUN,O
were,were,AUX,O
h,h,VERB,O
ired,##ired,VERB,O
to,to,PART,O
support,support,VERB,O
the,the,DET,O
national,national,ADJ,O
team,team,NOUN,O
of,of,ADP,O
Saudi,Saudi,PROPN,B-geo
Arab,Arab,PROPN,I-geo
ia,##ia,PROPN,I-geo
!,!,PUNCT,O
.,.,PUNCT,O
###,###,SPACE,O
On,On,ADP,O
home,home,NOUN,O
coming,##coming,NOUN,O
night,night,NOUN,O
Post,Post,PROPN,B-geo
ville,##ville,PROPN,I-geo
fe,fe,VERB,O
els,##els,VERB,O
like,like,ADP,O
H,H,PROPN,B-geo
ometown,##ometown,PROPN,I-geo
",",",",PUNCT,O
USA,USA,PROPN,B-geo
",",",",PUNCT,O
but,but,CCONJ,O
a,a,DET,O
look,look,NOUN,O
around,around,ADP,O
this,this,DET,O
town,town,NOUN,O
of,of,ADP,O
2,2,NUM,O
",","##,",NUM,O
000,##000,NUM,O
shows,shows,VERB,O
it,it,PRON,O
's,'s,AUX,O
bec,bec,VERB,O
ome,##ome,VERB,O
a,a,DET,O
mini,mini,ADJ,O
ature,##ature,ADJ,O
Ell,Ell,PROPN,B-geo
is,##is,PROPN,I-geo
Is,Is,PROPN,I-geo
land,##land,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
On,On,ADP,O
Cap,Cap,PROPN,B-geo
itol,##itol,PROPN,I-geo
Hill,Hill,PROPN,I-geo
today,today,NOUN,O
",",",",PUNCT,O
sen,sen,NOUN,O
ators,##ators,NOUN,O
were,were,AUX,O
asking,asking,VERB,O
the,the,DET,O
general,general,NOUN,O
who,who,PRON,O
sent,sent,VERB,O
the,the,DET,O
`,`,PUNCT,O
`,`,PUNCT,O
USS,USS,PROPN,O
Cole,Cole,PROPN,O
'','',PUNCT,O
into,into,ADP,O
the,the,DET,O
port,port,NOUN,O
of,of,ADP,O
Ad,Ad,PROPN,B-geo
en,##en,PROPN,I-geo
in,in,ADP,O
Y,Y,PROPN,B-geo
emen,##emen,PROPN,I-geo
",",",",PUNCT,O
why,why,ADV,O
he,he,PRON,O
made,made,VERB,O
that,that,DET,O
dec,dec,NOUN,O
ision,##ision,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
General,General,PROPN,O
Z,Z,PROPN,O
inn,##inn,PROPN,O
i,##i,PROPN,O
said,said,VERB,O
all,all,DET,O
her,her,PRON,O
ports,ports,NOUN,O
",",",",PUNCT,O
from,from,ADP,O
the,the,DET,B-geo
S,S,PROPN,I-geo
uez,##uez,PROPN,I-geo
Can,Can,PROPN,I-geo
al,##al,PROPN,I-geo
to,to,ADP,O
the,the,DET,B-geo
Pers,Pers,PROPN,I-geo
ian,##ian,PROPN,I-geo
G,G,PROPN,I-geo
ulf,##ulf,PROPN,I-geo
",",",",PUNCT,O
had,had,VERB,O
their,their,PRON,O
own,own,ADJ,O
pro,pro,NOUN,O
blems,##blems,NOUN,O
",",",",PUNCT,O
either,either,CCONJ,O
c,c,ADJ,O
redible,##redible,ADJ,O
terror,terror,NOUN,O
ists,##ists,NOUN,O
threat,threat,NOUN,O
s,##s,NOUN,O
",",",",PUNCT,O
un,un,ADJ,O
stable,##stable,ADJ,O
govern,govern,NOUN,O
ments,##ments,NOUN,O
",",",",PUNCT,O
or,or,CCONJ,O
har,har,NOUN,O
bors,##bors,NOUN,O
j,j,VERB,O
ammed,##ammed,VERB,O
with,with,ADP,O
small,small,ADJ,O
boats,boats,NOUN,O
",",",",PUNCT,O
plus,plus,CCONJ,O
",",",",PUNCT,O
the,the,DET,O
government,government,NOUN,O
of,of,ADP,O
Y,Y,PROPN,B-geo
emen,##emen,PROPN,I-geo
w,w,VERB,O
anted,##anted,VERB,O
better,better,ADJ,O
relations,relations,NOUN,O
with,with,ADP,O
the,the,DET,O
U,U,PROPN,B-geo
.,##.,PROPN,I-geo
S,##S,PROPN,I-geo
.,##.,PROPN,I-geo
and,and,CCONJ,O
had,had,AUX,O
be,be,VERB,O
gun,##gun,VERB,O
taking,taking,VERB,O
steps,steps,NOUN,O
to,to,PART,O
control,control,VERB,O
local,local,ADJ,O
terrorist,terrorist,ADJ,O
activity,activity,NOUN,O
",",",",PUNCT,O
but,but,CCONJ,O
impro,impro,ADJ,O
ved,##ved,ADJ,O
relations,relations,NOUN,O
",",",",PUNCT,O
Z,Z,PROPN,O
inn,##inn,PROPN,O
i,##i,PROPN,O
said,said,VERB,O
",",",",PUNCT,O
did,did,AUX,O
not,not,PART,O
blind,blind,VERB,O
the,the,DET,O
U,U,PROPN,B-geo
.,##.,PROPN,I-geo
S,##S,PROPN,I-geo
.,##.,PROPN,I-geo
to,to,ADP,O
the,the,DET,O
ris,ris,NOUN,O
ks,##ks,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
Kevin,Kevin,PROPN,O
New,New,PROPN,O
man,##man,PROPN,O
",",",",PUNCT,O
ABC,ABC,PROPN,O
News,News,PROPN,O
",",",",PUNCT,O
S,S,PROPN,B-geo
our,##our,PROPN,I-geo
is,##is,PROPN,I-geo
",",",",PUNCT,O
Prince,Prince,PROPN,B-geo
Edward,Edward,PROPN,I-geo
Is,Is,PROPN,I-geo
land,##land,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
We,We,PRON,O
are,are,AUX,O
going,going,VERB,O
to,to,PART,O
take,take,VERB,O
`,`,PUNCT,O
`,`,PUNCT,O
a,a,DET,O
cl,cl,ADJ,O
oser,##oser,ADJ,O
look,look,NOUN,O
'','',PUNCT,O
at,at,ADP,O
the,the,DET,O
great,great,ADJ,O
Wind,Wind,PROPN,B-geo
C,C,PROPN,I-geo
ave,##ave,PROPN,I-geo
in,in,ADP,O
South,South,PROPN,B-geo
D,D,PROPN,I-geo
ak,##ak,PROPN,I-geo
ota,##ota,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
The,The,DET,O
most,most,ADV,O
f,f,ADJ,O
asc,##asc,ADJ,O
inating,##inating,ADJ,O
is,is,AUX,O
the,the,DET,O
m,m,NOUN,O
aze,##aze,NOUN,O
known,known,VERB,O
as,as,ADP,O
Wind,Wind,PROPN,B-geo
C,C,PROPN,I-geo
ave,##ave,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
The,The,DET,O
attack,attack,NOUN,O
was,was,AUX,O
to,to,PART,O
be,be,VERB,O
part,part,NOUN,O
of,of,ADP,O
a,a,DET,O
world,world,ADJ,O
wide,##wide,ADJ,O
eff,eff,NOUN,O
ort,##ort,NOUN,O
during,during,ADP,O
cele,cele,NOUN,O
b,##b,NOUN,O
ration,##ration,NOUN,O
of,of,ADP,O
the,the,DET,O
mill,mill,NOUN,O
enn,##enn,NOUN,O
ium,##ium,NOUN,O
that,that,DET,O
in,in,VERB,O
cluded,##cluded,VERB,O
t,t,NOUN,O
arg,##arg,NOUN,O
ets,##ets,NOUN,O
in,in,ADP,O
Jordan,Jordan,PROPN,B-geo
and,and,CCONJ,O
Seattle,Seattle,PROPN,B-geo
.,.,PUNCT,O
###,###,SPACE,O
Off,Off,ADP,O
the,the,DET,O
co,co,NOUN,O
ast,##ast,NOUN,O
of,of,ADP,O
Ec,Ec,PROPN,B-geo
uador,##uador,PROPN,I-geo
",",",",PUNCT,O
a,a,DET,O
U,U,PROPN,O
.,##.,PROPN,O
S,##S,PROPN,O
.,##.,PROPN,O
Co,Co,PROPN,O
ast,##ast,PROPN,O
Guard,Guard,PROPN,O
team,team,NOUN,O
has,has,AUX,O
ar,ar,VERB,O
rived,##rived,VERB,O
to,to,PART,O
help,help,VERB,O
clean,clean,VERB,O
up,up,ADP,O
the,the,DET,O
damage,damage,NOUN,O
from,from,ADP,O
a,a,DET,O
serious,serious,ADJ,O
oil,oil,NOUN,O
sp,sp,NOUN,O
ill,##ill,NOUN,O
in,in,ADP,O
the,the,DET,B-geo
Gal,Gal,PROPN,I-geo
ap,##ap,PROPN,I-geo
agos,##agos,PROPN,I-geo
Is,Is,PROPN,I-geo
lands,##lands,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
Is,Is,ADJ,O
olated,##olated,ADJ,O
600,600,NUM,O
m,m,NOUN,O
iles,##iles,NOUN,O
off,off,ADP,O
the,the,DET,O
north,north,ADJ,O
west,##west,ADJ,O
co,co,NOUN,O
ast,##ast,NOUN,O
of,of,ADP,O
South,South,PROPN,B-geo
America,America,PROPN,I-geo
",",",",PUNCT,O
the,the,DET,B-geo
Gal,Gal,PROPN,I-geo
ap,##ap,PROPN,I-geo
agos,##agos,PROPN,I-geo
Is,Is,PROPN,I-geo
lands,##lands,PROPN,I-geo
are,are,AUX,O
f,f,VERB,O
amed,##amed,VERB,O
for,for,ADP,O
their,their,PRON,O
wild,wild,NOUN,O
life,##life,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
In,In,ADP,O
the,the,DET,B-geo
Gal,Gal,PROPN,I-geo
ap,##ap,PROPN,I-geo
agos,##agos,PROPN,I-geo
Is,Is,PROPN,I-geo
lands,##lands,PROPN,I-geo
of,of,ADP,O
Ec,Ec,PROPN,B-geo
uador,##uador,PROPN,I-geo
",",",",PUNCT,O
the,the,DET,O
oil,oil,NOUN,O
sp,sp,NOUN,O
ill,##ill,NOUN,O
that,that,DET,O
threat,threat,VERB,O
ens,##ens,VERB,O
so,so,ADV,O
many,many,ADJ,O
species,species,NOUN,O
of,of,ADP,O
ra,ra,ADJ,O
re,##re,ADJ,O
birds,birds,NOUN,O
and,and,CCONJ,O
anim,anim,NOUN,O
als,##als,NOUN,O
is,is,AUX,O
now,now,ADV,O
the,the,DET,O
size,size,NOUN,O
of,of,ADP,O
Los,Los,PROPN,B-geo
Angel,Angel,PROPN,I-geo
es,##es,PROPN,I-geo
.,.,PUNCT,O
###,###,SPACE,O
A,A,DET,O
tank,tank,NOUN,O
er,##er,NOUN,O
ran,ran,VERB,O
ag,ag,ADV,O
round,##round,ADV,O
last,last,ADJ,O
week,week,NOUN,O
off,off,ADP,O
San,San,PROPN,B-geo
C,C,PROPN,I-geo
rist,##rist,PROPN,I-geo
obal,##obal,PROPN,I-geo
Is,Is,PROPN,I-geo
land,##land,PROPN,I-geo
",",",",PUNCT,O
and,and,CCONJ,O
our,our,PRON,O
N,N,PROPN,O
ed,##ed,PROPN,O
Pot,Pot,PROPN,O
ter,##ter,PROPN,O
is,is,VERB,O
there,there,ADV,O
ton,ton,NOUN,O
ight,##ight,NOUN,O
.,.,PUNCT,O
###,###,SPACE,O
This,This,DET,O
morning,morning,NOUN,O
",",",",PUNCT,O
the,the,DET,O
tank,tank,NOUN,O
er,##er,NOUN,O
was,was,AUX,O
pract,pract,ADV,O
ically,##ically,ADV,O
on,on,ADP,O
its,its,PRON,O
side,side,NOUN,O
",",",",PUNCT,O
the,the,DET,O
waves,waves,NOUN,O
breaking,breaking,VERB,O
it,it,PRON,O
off,off,ADP,O
just,just,ADV,O
500,500,NUM,O
yards,yards,NOUN,O
from,from,ADP,O
San,San,PROPN,B-geo
C,C,PROPN,I-geo
rist,##rist,PROPN,I-geo
obal,##obal,PROPN,I-geo
Is,Is,PROPN,I-geo
land,##land,PROPN,I-geo
",",",",PUNCT,O
and,and,CCONJ,O
despite,despite,SCONJ,O
their,their,PRON,O
best,best,ADJ,O
eff,eff,NOUN,O
orts,##orts,NOUN,O
",",",",PUNCT,O
offic,offic,NOUN,O
ials,##ials,NOUN,O
said,said,VERB,O
200,200,NUM,O
",","##,",NUM,O
000,##000,NUM,O
gall,gall,NOUN,O
ons,##ons,NOUN,O
of,of,ADP,O
engine,engine,NOUN,O
fuel,fuel,NOUN,O
